Unnamed: 0,Email Text,Email Type
2487,"thanks dear mr . kaminski : thank you very much for the interview today . it was a great opportunity for me to learn more about your company , and my pleasure to speak with you . i feel that the position is very interesting and challenging . i am confident that i can make solid contributions to the company with my background and the training received from the mscf program . thanks again , and i am looking forward to hearing from you soon . sincerely , hao peng",0
16919,"URL: http://www.newsisfree.com/click/-3,8457387,215/
Date: 2002-10-02T04:57:55+01:00*Money:* Britain's biggest building society has signalled it expects no let-up 
in the runaway property boom.
",0
2036,"new publications : australian languages new releases nordlinger , rachel , a grammar of wambaya , northern territory ( australia ) 1998 , isbn 0 85883 481 2 , xvi + 320pp . softcover . a $ 48 . 90 pacific linguistics catalogue number , c-140 . key words : australian aboriginal languages ; grammar . this work describes the phonology , morphology and syntax of wambaya , a non - pama - nyungan language of the barkly tablelands region of the northern territory . particular attention is paid to the complex morphology , including the gender and case suffixes on nominals , the interaction between the tense marking on both verb and auxiliary , and the use of case in subordinate clauses . a collection of texts and wordlists is also included . thomas , david , ed . papers in southeast asian linguistics no . 15 : chamic studies 1998 , isbn 0 85883 465 0 , iii + 90pp . softcover . ( in press ) a $ 31 . 80 pacific linguistics catalogue number , a-89 . key words : cham ; roglai ; utsat ; austronesian ; khmer . this volume presents papers on chamic languages by neil baumagartner ( western cham grammar ) , robert headley ( cham evidence from khmer sound changes ) , ernest lee ( cat gia roglai ) , keng - fong pang ( the ethnonym utsat ) , and graham thurgood ( austronesian and mon - khmer elements in chamic vowels ) . tryon , darrell , ed . , papers in austronesian linguistics no . 5 1998 , isbn 0 85883 475 8 , vii + 275pp . softcover . a $ 46 . 20 pacific linguistics catalogue number , a-92 . key words : lou ; nati ; malakula ; vanuatu ; muyuw ; awad bing ; grammar . papers by robert blust a lou vocabulary , with phonological notes , . ; baumgartner , neil , terry crowley a salvage sketch of nati ( southwest malakula , vanuatu ) , david lithgow muyuw : its relationship with its neighbours and the bilingualism of its speakers , d . j . bennett awad bing grammar essentials . sharpe , margaret , dictionary of yugambeh ( including neighbouring dialects ) 1998 , isbn 0 85883 480 4 , xix + 223pp . softcover . a $ 42 . 20 pacific linguistics catalogue number , c-139 . key words : aboriginal languages ; yugambeh ; dictionary ; grammar . this book brings together all published or recorded information known to the compiler on the language of the gold coast , queensland and its hinterlands , and neighbouring dialects extending to minyangbal ( minjungbal ) in the brushwick river area , new south wales , and the dialects spoken around warwick , queensland . dialects of the same language were spoken in new south wales , e . g . gidhabal and bundjalung . while yugambeh appears to have gone out of widespread use possibly sixty years ago , there are many valuable word lists and grammars dating back to the nineteenth century and the first half of the twentieth century . all entries in the dictionary are in modern phonemic transcription ( with pronunciation guides ) , with all sources and source spellings included under each entry . the dictionary includes grammatical notes and an english finder list . tryon , darrell bislama : an introduction to the national language of vanuatu 1987 , 1988 , 1991 , 1995 , 1998 ( reprints ) , isbn 0 85883 361 1 , xiv + 261pp . the book a $ 35 . 30 set of 8 cassettes ( optional ) a $ 70 . 00 pacific linguistics catalogue number , d-72 . key words : bislama , vanuatu . pacific linguistics publications can be obtained in any one of six easy and convenient ways : e-mail e - mail : mira . kwasik @ coombs . anu . edu . au over-the - counter mail the australian national university pacific linguistics department of linguistics rspas 3rd floor , room 1208 the australian national university coombs bld . , fellows road canberra act 0200 acton , canberra australia phone order fax + 61 ( 0 ) 2 6249 2742 or fax + 61 ( 0 ) 2 6249 4896 voice mail - message thank you , mira kwasik mira kwasik manager , publications centre research school of pacific and asian studies the australian national university canberra 0200 australia ph : + 61 ( 0 ) 2 6249 2742 or 3269 fax : + 61 ( 0 ) 2 6249 4896 e - mail : mira . kwasik @ coombs . anu . edu . au the research school of pacific and asian studies , anu - online catalogue http : / / coombs . anu . edu . au / publications / coombsguide . html",0
691,gmm 09 nov 2001 please find attached the global markets monitor for the week ending 9 november 2001 . on behalf of maureen raymond and gwyn koepke,0
686,"Rohit Khare wrote:
> Yes, on a mailing list awash in crap -- and some it is even unsolicited 
> commercial email, heavens! -- our trusty mailman filters captured and 
> quarantined just two posts that week, one from me that was > 100K (the 
> fat articles) and one that was bcc:d (the invite).Wait... I didn't think we had any filters set up on FoRK.
Kragen, do you know of any?I personally have FoRK delivered to an address (napier%waste.org)
that has SpamAssassin enabled, agressively, where it just nukes
anything it thinks is spam. Usually I figure if I miss a FoRK post,
no big deal, I'll pick it up by the replies if it's interesting.For personal mail (joe%barrera.org) I either don't use SpamAssassin,
or use it but where it just flags messages instead of nuking them.
So if someone is sending a message just to me, I'll get it even
if it looks like spam.So in other words, Rohit, if you had sent to joe%barrera.org, I
guess I would have received it in a timely fashion.So where's all that booze? When's the retry?
Every robust protocol needs a retry strategy --
what's yours?- Joe the Angry DwarfP.S. Ain't no dwarf.
http://xent.com/mailman/listinfo/fork
",0
14230,"On Sun, 11 Aug 2002 bitbitch@magnesium.net wrote:> You mean like on mac keyboards :-)    Or laptops (which are as damnYeah, I was thinking of the G4 keyboard when I wrote this. Otherwise lousy
feel and key placement, though. (That's why I'm holding on to my IBM Model
M Space Saver. Once I get an PS2 to USB converter, I expect it will
outlive several generations of computer hardware).Very good for sticking in USB fobs into, though. CRTs/LCD panels are even 
better for that, though.> near close to keyboard/usb connection as one can get, without the real
> thing)I think laptops are largely useless because of the battery and the 
keyboard issue.http://xent.com/mailman/listinfo/fork
",0
11723,"fw : northeast rto mediation report fyi - - - - - original message - - - - - from : novosel , sarah sent : tuesday , september 18 , 2001 8 : 36 am to : kean , steven j . ; shapiro , richard ; steffes , james d . ; nicolay , christi l . ; lindberg , susan ; robertson , linda ; fulton , donna ; alvarez , ray ; connor , joe ; staines , dan ; stroup , kerry ; migden , janine ; walton , steve ; comnes , alan ; mara , susan ; maurer , luiz ; philipp , meredith cc : allegretti , daniel ; hoatson , tom ; fromer , howard subject : northeast rto mediation report yesterday afternoon , september 17 , the judge in the northeast rto mediation proceeding issued his report to the commission on the 45 - day mediation session . although not unexpected , but still disappointing , the judge endorses the market design proposal of the new york and new england isos . this market design proposal encompasses a long , drawn out process for discussing what the northeast market should look like ( minimum 12 months ) before work begins to develop the new rto . the target implementation date of the isos is november , 2004 , but the proposal clearly states that this time frame is "" subject to extension "" if new design requirements are introduced . we believe the true intent of the isos is to delay indefinitely this process in order to retain the three existing iso structures . a copy of the judge ' s report and the business plan are attached . one good aspect of the judge ' s report is that he asks in several areas of the report for commission guidance . we too believe this is necessary . it became quite evident early in the mediation proceeding that we were not going to agree with the new york entities ( or the new england iso ) on market design or governance . we argued that ferc intended the new market design to be primarily the pjm system , with enhancements where possible . others , relying on the ambiguity in ferc ' s orders , argued that ferc really intended to create a new system , using pjm as the platform but pulling heavily from the other two isos , regardless of time or complication of creating this new market . we need ferc direction on this , and the judge makes this clear . background the judge ' s primary goal of this 45 - day mediation process was simply to establish a "" business plan "" which lays out how and when a single northeast rto will be created . enron , along with many other participants , opposed this approach , arguing that we are wasting the 45 days given to us by the commission . the judge acknowledges in his report that there was significant opposition to his approach but he thinks it worked out perfectly . although the majority of the judge ' s report and the business plan focuses mainly on process for creating the business plan , he does discuss two substantive issues : market design and governance . market design at the beginning of the mediation , pjm , ny and ne submitted a joint proposal for forming a single northeast rto . this proposal envisions a time - intensive approached designed to reach agreement by all stakeholders , with an implementation date in 3 - 4 years ( "" option 1 - m "" of the business plan ) . this proposal is now supported by the new england and new york isos - pjm has its own approach ( see below ) . the new york transmission owners also submitted a proposal for implementing the new rto in 3 years ( "" option 2 - m "" of the business plan ) . pjm submitted an alternative proposal for creating and implementing a single northeast rto with a single day - ahead and real - time energy market by november 2003 ( "" option 3 - m "" of the business plan ) . we took the lead in creating a coalition of marketers , generators , pjm tos , industrials , and other end use customers ( the one rto coalition ) advocating the creation of a single energy market based on pjm ' s system by december 2002 , but no later than may , 2003 . although we ( enron ) believe pjm ' s november 2003 time frame is too conservative , the coalition supports option 3 - m ( pjm ' s approach ) since it achieves the coalition ' s goals , albeit on a slower timetable . as noted above , the judge endorses option 1 - m , in part because it has a built - in a process for determining "" best practices . "" although pjm also conducted a "" best practices "" analysis , the other isos and ny tos do not agree with pjm ' s determinations of what practices from their isos are "" best practices . "" the judge acknowledges that support for option 3 - m ( the pjm plan ) "" far outstrips "" the other options in diversity and extent of stakeholder support . however , the judge believes that the pjm option assumes the pjm platform can work in new york and new england , even though there are more generation divestiture and load pocket issues in new york and new england than in pjm . the judge states that "" impatience , haste and greed "" should not be permitted to drive the rto process "" at the expense of sound policy "" and that optimal rto benefits should not be sacrificed in order to allow some to "" exploit more immediate economic opportunity in a sprint . "" see report , page 18 . governance the other substantive issues we have discussed are governance : interim governance , final governance , board make - up and stakeholder process . the judge opted to not endorse any one of the options proposed - instead , he discusses the pros and cons of each option . here again , the judge strongly urges the commission to provide guidance to the participants on the commission ' s preferred governance approach . the judge also suggests that a settlement judge may be helpful in assisting stakeholders in finalizing governance procedures . pjm has stated that in order to meet its deadline of november 2003 ( and certainly earlier ) , pjm has to be in control of the implementation of the new rto . pjm proposes that the new board be made up of board members from the existing isos : 5 from pjm , 3 from new york , and 2 from new england . the board elects a voting ceo ( assumed to be phil harris if the pjm proposal wins ) . ny iso , new england iso , ny psc , ny tos and new england tos , along with other entities ( primarily those who are afraid to cross new york psc ) all support equal representation on the new board . one proposal would have 3 board members from each iso with a non - voting ceo . the other proposal would have 3 board members from each iso with 4 additional board members to be elected by stakeholders . we support the pjm board make - up proposal to ensure a fast transition to a single northeast rto and energy market based on the pjm system . post mediation the judge in his report recommends that the commission issue an order resolving as many of the issues in dispute as possible and then establish further proceedings under the auspice of a settlement judge . the judge urges the commission to not accept comments from participants , but he acknowledges that all participants want an opportunity to comment . we are working on two sets of comments now , one on our own and one in conjunction with the one rto coalition . we will circulate drafts as soon as they are prepared . although we are disappointed that the judge did not endorse the pjm proposal , we still believe that the commission is intent on implementing a single northeast rto as soon as possible and that the pjm proposal provides a well - reasoned ( even conservative ) approach to reaching that goal . therefore , even though the judge sided with new york , we are hopeful that the commission will stick to its guns and go with the pjm proposal . please call any one of us if you have any questions or would like to discuss the report . sarah , dan , howard and tom",0
6522,"job : research assistant in pragmatics applications are invited for a one-year research assistantship at the university of ulster at jordanstown , n . ireland , to work directly on an esrc - funded project entitled "" relevance , beliefs and political conflict in northern ireland , commencing 1 may 1995 . applicants must have a first or second class honours degree ( or equivalent first degree ) or higher degree in linguistics or communication . preference will be given to candidates who have a phd or who have previous relevant research experience . further details may be obtained by telephoning : ( uk ) 01232-366243 or 1232-366175 , quoting referencej95 / 071 , or by e-mailing dr john wilson , j . wilson @ ulst . ac . uk . the closing date for applications is 17 march , so if you have a fax number it may be advisable to give this so that materials can be faxed to you rather than sent in the mail .",0
7770,"fwd : mark - to - market return - path : received : from rly - ygol . mx . aol . com ( rly - ygol . mail . aol . com [ 172 . 18 . 147 . 1 ] ) by air - ygo 5 . mail . aol . com ( v 67 _ bl . 21 ) with esmtp ; fri , 28 jan 2000 18 : 00 : 52 - 0500 received : from mailman . enron . com ( mailman . enron . com [ 192 . 152 . 140 . 66 ] ) by rly - ygol . mx . aol . com ( v 67 _ bl . 21 ) with esmtp ; fri , 28 jan 2000 18 : 00 : 36 - 0500 received : from dservl . ect . enron . com ( dservl . ect . enron . com [ 172 . 16 . 1 . 37 ] ) by mailman . enron . com ( 8 . 8 . 8 / 8 . 8 . 8 / corp - 1 . 03 ) with esmtp id xaal 9726 for ; fri , 28 jan 2000 23 : 00 : 07 gmt received : from notes . ect . enron . com ( notes . ect . enron . com [ 172 . 16 . 4 . 33 ] ) by dservl . ect . enron . com ( 8 . 8 . 8 / 8 . 8 . 8 ) with smtp id raa 24406 for ; fri , 28 jan 2000 17 : 00 : 32 - 0600 ( cst ) received : by notes . ect . enron . com ( lotus smtp mta v 4 . 6 . 5 ( 863 . 2 5 - 20 - 1999 ) ) id 86256874 . 007 e 6242 ; fri , 28 jan 2000 17 : 00 : 26 - 0600 x - lotus - fromdomain : ect from : "" vince j kaminski "" to : vkaminski @ aol . com message - id : date : fri , 28 jan 2000 17 : 00 : 29 - 0600 subject : re : mark - to - market mime - version : 1 . 0 content - type : text / plain ; charset = us - ascii content - disposition : inline content - transfer - encoding : 7 bit - - - - - - - - - - - - - - - - - - - - - - forwarded by vince j kaminski / hou / ect on 01 / 28 / 2000 05 : 00 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - from : wade cline @ enron _ development on 01 / 28 / 2000 07 : 17 am ze 5 b to : pinnamaneni krishnarao / hou / ect @ ect cc : sandeep kohli / enron _ development @ enron _ development , vince j kaminski / hou / ect @ ect subject : re : mark - to - market ( document link : vince j kaminski ) sandeep , can dpc sell to mseb and have eipl buy an equivalent amount of power from mseb at another spot on their grid , and then eipl sell to the 3 rd party state ? pinnamaneni krishnarao @ ect 01 / 27 / 2000 04 : 00 pm to : sandeep kohli / enron _ development @ enron _ development cc : vince j kaminski / hou / ect @ ect , wade subject : re : mark - to - market ( document link : wade cline ) sandeep : i met with bob today and discussed the deal structure we put together . on the mark - to - market issue , bob and his colleague wess told me that as long as payments are tied to one particular plant , we cannot m - t - m them . they had same problem with plants here in the us ( like the peaking plants ) and they had to separate the plant from power sales to be able to m - t - m the assocated cashflows . what they did is : they sold power from the plant to an outside party and bought it back from them at completely different ( multiple ) locations . the buyback is not tied to any specific plant and is marked to maket . even if enron can somehow mark - to - market a deal with dpc , it can do so for only 50 % of the cashflows because only 50 % of dpc is owned by outsiders . and a simple loan to an affiliate cannot also be marked to market . bob was suggesting that if eipl buys options from dpc and from some other plants and in turn sells power to ap or karnataka then we could have a case for m - t - m . politically dpc selling power to eipl may not be the best solution , to put it rather mildly ! our alternatives , as i see them , are 1 . do the deal as we structured it . the only difference is that enron doesn ' t mark it to market and income is earned only in 2002 - 03 . 2 . do the deal as we structured it . eipl / enron then sells the contract to another party at a profit . the problem , of course , is finding this party and forking part of the profit to them . 3 . same deal , except revenue securitization is done through an outside party in india ( not eipl ) . bob said he will think about the issues some more this week . let me know when you will be here next week so we can meet with bob together . i will be going to boston for tuesday and / or wednesday ( feb . 1 - 2 ) . i can book an appt . with bob for us . sandeep kohli @ enron _ development 01 / 23 / 2000 09 : 45 pm to : robert butts , pinnamaneni krishnarao @ ect cc : vince kaminski , wade cline / enron _ development @ enron _ development , ananda mukerji , jaiprakash desai / enron _ development @ enron _ development subject : mark - to - market bob , i wanted to continue the analysis on mark - to - market that i had spoken to you about on the phone . i thought that it was getting very difficult explaining the whole transaction by phone , so i am having krishnarao who is in vince ' s group explain the transaction to you . krishna has been helping us structure the deal here in india , and he has just returned to houston from india after working with the team here . he will seek an appointment with you to explain the transaction . i would like you to please spend some time with him , and then based on the discussion please send us a note detailing how sucha a transaction would be marked to market . please cosider the fact that currently there are no such transactions from the indian side . this is a very important transaction for us , and we may need to repeat this in coming months , hence setting up the system to account for these maybe well worth it . also , what i am concerned about is that there will be an enron india ( eipl ) account in india based on indian gaap , and upon consolidation there will be a us gaap accounting in the us . it is here that we would like to have mark - to - market accounting . eipl is structured through mauritius , and then caymen islands . another key question to consider is that when we m - t - m the transaction in the us there will be a tax accruing in the year of m - t - m ( say 2000 ) . however , in india , as a result of the accrual accounting , there will not be any income showing till the year 2002 or 2003 . we will need to know how that would get treated , and whether there is a way to get credit for the tax payable in the us . i am also confused about whether us tax would be levied , since none of the income is being brought back into the us ( remains overseas - subpart - f and other concerns ) . finally , we have been working hard in structuring a fixed price contract and getting a fixed for floating swap in the us ( this is still not allowed to indian corporates ) . i need you to think about this too , and see if some type of accounting will solve this issue . krishna knows what i am talking about , and will brief you on the same . krishna - please walk bob through the three structures we had worked here . look forward to your help and comments . this is going to be an exciting project for us all . regards , sandeep .",0
9916,"chairman ' s award - supervisor announcement hello to each of you . i would like to let you know that i will be facilitating the 2000 chairman ' s award program , a vision & values initiative designed to recognize those employees who daily embody enron ' s values of respect , integrity , communication and excellence . this is an annual , employee - driven award which encourages employees to nominate their everyday heroes . a critical component of the award process , and one in which ken lay has given his full support , is the employee selection committee . this year ' s selection committee is made up of a diverse representation from our workforce both in the us and around the world . these individuals were chosen as last year ' s chairman ' s roundtable and have been invited to be part of this year ' s employee selection committee . their infallible enthusiasm for enron ' s vision & values will support the seamless transition from recognized winners to award decision - makers which is necessary to sustain the spirit of the award . you are being notified because one of your employees is on this important committee . the time commitment will be primarily during the first two weeks of october when we will meet either in person or via video / phone conferencing to review the nominations and select the winners . i hope you will congratulate and support them as this is a special honor to be asked to serve on the employee selection committee . if you have any questions at any time , please feel free to contact me via email or phone . warm regards , charla reese 713 . 853 . 5202 members of the 2000 employee selection committee : billi aherns - omaha , ne bobbye brown - portland , or karen campos - houston , tx jaiprakash desai - mumbai , india gary douthwaite - teeside , england donna johnson - portland , or janis hansen - portland , or gene lauritsen - beatrice , ne doug mcneilly - houston , tx kevin moore - houston , tx mason morris - jenkintown , pa craig sutter - houston , tx sue tihista - mandan , nd",0
